query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,strong_norm_ndcg@10,strong_norm_recall@100,strong_norm_mrr@10,heavy_ndcg@10,heavy_recall@100,heavy_mrr@10,heavy_normalized_ndcg@10,heavy_normalized_recall@100,heavy_normalized_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_strong_norm,formal_vs_heavy,formal_vs_heavy_normalized
6021,0.7403,1.0,1.0,0.8332,1.0,1.0,0.8314,1.0,1.0,0.7247,1.0,1.0,0.0,0.3333,0.0,0.7403,1.0,1.0,0.9906,0.9914,0.9817,0.8385,0.9761
6052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954,0.9649,0.994,0.8486,0.9582
6085,0.1312,0.8,0.2,0.6943,0.8,1.0,0.7191,0.8,1.0,0.1312,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8596,0.8831,0.9998,0.7558,0.7824
6087,0.7757,0.75,1.0,0.1232,0.25,0.125,0.7757,0.75,1.0,0.8319,1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.8989,0.9533,0.9817,0.8783,0.8858
613,0.0,0.3333,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.9596,0.9713,1.0,0.8749,0.9103
662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3155,1.0,0.125,1.0,1.0,1.0,0.975,0.9803,0.9998,0.8754,0.9547
679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502,0.8423,1.0,0.7713,0.79
706,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.3869,0.5,0.5,0.3869,1.0,0.5,0.9169,0.9642,0.9937,0.8562,0.9615
713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9487,0.9558,0.9955,0.8311,0.8386
736,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.9619,0.9676,0.9996,0.8491,0.9029
746,0.2641,1.0,0.25,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.2641,1.0,0.25,0.0,0.5,0.0,0.3066,1.0,0.3333,0.9241,0.9829,0.9998,0.8569,0.9684
78,0.956,1.0,1.0,0.0,0.4,0.0,0.0,0.4,0.0,0.967,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8508,0.8504,0.9924,0.8004,0.8609
79,0.0,0.2,0.0,0.0663,0.2,0.1111,0.0636,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9849,0.9854,0.996,0.8644,0.935
830,1.0,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.9197,1.0,1.0,0.9803,0.9821,0.9885,0.8451,0.9696
849,0.8772,1.0,1.0,0.3869,1.0,0.5,0.8175,1.0,1.0,0.8772,1.0,1.0,0.0,0.0,0.0,0.9197,1.0,1.0,0.8823,0.9125,0.9988,0.8663,0.9031
919,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.1909,0.3333,0.5,0.3901,0.8333,1.0,0.9808,0.9832,0.9996,0.8977,0.9565
