query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,formal_vs_informal,formal_vs_normalized
4797,0.7654,1.0,1.0,0.7039,1.0,1.0,0.7039,1.0,1.0,0.9629,0.964
4816,0.4307,1.0,0.25,0.5,1.0,0.3333,0.4307,1.0,0.25,0.9438,0.9817
4889,0.6714,1.0,1.0,0.7654,0.6667,1.0,0.6714,0.6667,1.0,0.9276,0.9609
4919,0.9197,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,0.968,0.9692
4962,0.3869,1.0,0.2,0.3562,1.0,0.1667,0.3562,1.0,0.1667,0.9804,0.9804
5003,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.9793,0.9799
506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249,0.8234
5210,0.7537,1.0,1.0,0.6805,0.75,1.0,0.7095,1.0,1.0,0.9496,0.9486
5245,0.5024,1.0,0.3333,0.4865,0.75,0.3333,0.5024,1.0,0.3333,0.955,0.9801
5253,0.6131,1.0,1.0,0.6131,0.5,1.0,0.6131,0.5,1.0,0.8446,0.8423
5278,0.46,1.0,1.0,0.2773,0.8,0.25,0.6855,1.0,1.0,0.9115,0.9584
5286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673,0.9526
5352,0.6309,1.0,0.5,1.0,1.0,1.0,0.6309,1.0,0.5,0.8974,0.9654
5370,0.4911,1.0,0.3333,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.9749,0.9523
5372,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.9287,0.9272
5503,1.0,1.0,1.0,0.6509,1.0,0.5,0.6509,1.0,0.5,0.9012,0.9057
555,0.876,1.0,1.0,0.2468,0.8333,0.3333,0.8535,1.0,1.0,0.9101,0.9721
5557,0.8503,1.0,1.0,0.8175,1.0,1.0,0.8175,1.0,1.0,0.988,0.9906
5567,0.6131,1.0,1.0,0.3869,1.0,0.5,0.3869,1.0,0.5,0.9133,0.9452
5583,0.9197,1.0,1.0,0.2372,1.0,0.2,0.2372,1.0,0.2,0.9581,0.9604
5586,0.511,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.9771,0.982
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9627,0.9906
567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959,0.9746
568,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.9563,0.9563
5706,0.2961,1.0,0.5,0.2961,1.0,0.5,0.2961,1.0,0.5,0.9241,0.9333
5719,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.994,0.9949
5811,0.3904,0.5,1.0,0.1952,0.25,0.3333,0.3904,0.25,1.0,0.9232,0.9442
5861,0.7277,1.0,1.0,0.5571,1.0,1.0,0.7323,1.0,1.0,0.9513,0.9894
5971,0.4982,1.0,0.5,0.4776,1.0,0.5,0.6714,1.0,1.0,0.9772,0.977
5980,0.8541,1.0,1.0,0.8319,1.0,1.0,0.8319,1.0,1.0,0.9068,0.9096
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9305,0.9315
6021,0.7403,1.0,1.0,0.8332,1.0,1.0,0.8314,1.0,1.0,0.9906,0.9914
